localTableID,URL,moby_work_name,Category,platform,Master ID,Amazon_ID,Amazon_Search_Keywords,ebay_Search_Keywords,ebay_id,minimum_price_US$,
9291, https://www.amazon.com/dp/B000056K8G/?tag=mobygames02-20&amp;aod=1,road-champs-bxs-stunt-biking,amazon_ID,,2686,B000056K8G,,,,0,
9295, https://www.amazon.com/dp/B00004W4WL/?tag=mobygames02-20&amp;aod=1,road-rash-ii,amazon_ID,,2687,B00004W4WL,,,,0,
9297, https://www.amazon.com/dp/B000035XK9/?tag=mobygames02-20&amp;aod=1,road-rash-ii,amazon_ID,,2687,B000035XK9,,,,0,
9299, https://www.amazon.com/dp/B00006GSOL/?tag=mobygames02-20&amp;aod=1,road-rash-jailbreak_,amazon_ID,,3366,B00006GSOL,,,,0,
9302, https://www.amazon.com/dp/B00002ST20/?tag=mobygames02-20&amp;aod=1,road-rash,amazon_ID,,2224,B00002ST20,,,,0,
9308, https://www.amazon.com/dp/B000038ABQ/?tag=mobygames02-20&amp;aod=1,road-rash_,amazon_ID,,306,B000038ABQ,,,,0,
9318, https://www.amazon.com/dp/B00004YW67/?tag=mobygames02-20&amp;aod=1,roadsters_,amazon_ID,,2688,B00004YW67,,,,0,
9323, https://www.amazon.com/dp/B006YI1WXG/?tag=mobygames02-20&amp;aod=1,roadwar-europa(1),amazon_ID,,#N/A,B006YI1WXG,,,,0,
9325, https://www.amazon.com/dp/B00009WAUY/?tag=mobygames02-20&amp;aod=1,robin-hood-defender-of-the-crown,amazon_ID,,4005,B00009WAUY,,,,0,
9333, https://www.amazon.com/dp/B00004SVTX/?tag=mobygames02-20&amp;aod=1,robin-hood-prince-of-thieves,amazon_ID,,2225,B00004SVTX,,,,0,
9347, https://www.amazon.com/dp/B0006TNCBE/?tag=mobygames02-20&amp;aod=1,robocop______,amazon_ID,,420,B0006TNCBE,,,,0,
9351, https://www.amazon.com/dp/B00004Y7SO/?tag=mobygames02-20&amp;aod=1,robopon-sun-version,amazon_ID,,775,B00004Y7SO,,,,0,
9353, https://www.amazon.com/dp/B000071OWY/?tag=mobygames02-20&amp;aod=1,robot-alchemic-drive,amazon_ID,,4123,B000071OWY,,,,0,
9363, https://www.amazon.com/dp/B00025ETDW/?tag=mobygames02-20&amp;aod=1,robots,amazon_ID,,3370,B00025ETDW,,,,#N/A,
9365, https://www.amazon.com/dp/B0007KTBFS/?tag=mobygames02-20&amp;aod=1,robots,amazon_ID,,3370,B0007KTBFS,,,,0,
9367, https://www.amazon.com/dp/B00025ETEG/?tag=mobygames02-20&amp;aod=1,robots_,amazon_ID,,4201,B00025ETEG,,,,0,
9369, https://www.amazon.com/dp/B00025ETEQ/?tag=mobygames02-20&amp;aod=1,robots_,amazon_ID,,4201,B00025ETEQ,,,,0,
9373, https://www.amazon.com/dp/B00025ETF0/?tag=mobygames02-20&amp;aod=1,robots_,amazon_ID,,4201,B00025ETF0,,,,0,
9378, https://www.amazon.com/dp/B001BX6JY6/?tag=mobygames02-20&amp;aod=1,rock-band-2,amazon_ID,,4011,B001BX6JY6,,,,0,
9380, https://www.amazon.com/dp/B001BXA9AG/?tag=mobygames02-20&amp;aod=1,rock-band-2,amazon_ID,,4011,B001BXA9AG,,,,0,
9382, https://www.amazon.com/dp/B001BXA9CE/?tag=mobygames02-20&amp;aod=1,rock-band-2,amazon_ID,,4011,B001BXA9CE,,,,0,
